id,sentence,subject_entity,object_entity,label
1283,"1962년 7월에 주로 소아 정신과 의사인 C. Henry Kempe가 저술한 ""The Battered Child-Syndrome""이라는 논문이 출판되고 미국의사협회저널에 게재되고, 아동 학대는 주류 인식에 들어갔다.","{'word': 'C. Henry Kempe', 'start_idx': 30, 'end_idx': 44, 'type': 'PER'}","{'word': 'The Battered Child-Syndrome', 'start_idx': 63, 'end_idx': 90, 'type': 'THRY'}",인물:소속이론또는학문분야
902,"행동 실험 (Behavioral experiments), 뇌 이미징 (Brain imaging), 계산 모형(Computational modeling), 신경생물학 방법(Neurobiological methods)이 인지과학을 연구하는데 사용된다.","{'word': '행동 실험', 'start_idx': 6, 'end_idx': 11, 'type': 'THRY'}","{'word': '인지과학', 'start_idx': 139, 'end_idx': 143, 'type': 'STF'}",이론:상위_학문분야
235,"파이(phi)운동'을 토대로 베르트하이머는 ""부분 과정 자체가 전체의 고유한 성질에 의해 결정된다"" 라는 결론을 내렸다.","{'word': '베르트하이머', 'start_idx': 33, 'end_idx': 39, 'type': 'PER'}","{'word': '파이(phi)운동', 'start_idx': 5, 'end_idx': 14, 'type': 'THRY'}",관계_없음
192,"자존감과 자존심은 자신에 대한 긍정이라는 공통점이 있지만, 자존감은 '있는 그대로의 모습에 대한 긍정'을 뜻하고 자존심은 '경쟁 속에서의 긍정'을 뜻하는 등의 차이가 있다.","{'word': '자존감', 'start_idx': 39, 'end_idx': 42, 'type': 'THRY'}","{'word': '자존심', 'start_idx': 81, 'end_idx': 84, 'type': 'THRY'}",관계_없음
2115,"부정망상(不貞妄想, delusion of infidelity 또는 delusional jealousy) 또는 오셀로 증후군(Othello syndrome)은 부인 또는 남편이 상대방의 정조(貞操)를 의심하는 망상성 장애의 하나이다. 의처증이나 의부증으로 잘 알려져 있다. 편집성 인격장애환자의 경우, 부정망상으로 이어질 가능성이 매우 높다.","{'word': '오셀로 증후군', 'start_idx': 67, 'end_idx': 74, 'type': 'THRY'}","{'word': '망상성 장애', 'start_idx': 134, 'end_idx': 140, 'type': 'THRY'}",이론:상위_이론
599,단순 부정적 경험이나 트라우마가 자존감에 상처를 입히며 외상후 스트레스 장애로 이어지는 이유는 이러한 경험에 따른 유동성 때문이다.,"{'word': '외상후 스트레스 장애', 'start_idx': 48, 'end_idx': 59, 'type': 'TERM'}","{'word': '트라우마', 'start_idx': 17, 'end_idx': 21, 'type': 'TERM'}",용어:증상또는질환
1592,학대라는 뜻을 가진 용어(abuse와 maltreatment)들은 종종 문헌에서 같은 의미로 사용된다.,"{'word': '학대', 'start_idx': 6, 'end_idx': 8, 'type': 'THRY'}","{'word': 'abuse', 'start_idx': 32, 'end_idx': 37, 'type': 'THRY'}",이론:대체어
337,"2단계는 미성숙 방어기제(immature defences)로 공상(fantasy), 투사(projection), 수동적 공격성(passive aggression), 행동화(acting out)가 이에 해당한다.","{'word': '미성숙 방어기제', 'start_idx': 11, 'end_idx': 19, 'type': 'THRY'}","{'word': '수동적 공격성', 'start_idx': 81, 'end_idx': 88, 'type': 'THRY'}",이론:하위_이론
2069,"지그문트 프로이트(독일어: Sigmund Freud, 1856년 5월 6일 ~ 1939년 9월 23일)는 오스트리아의 정신과 의사이자 정신분석학의 창시자이다.","{'word': '지그문트 프로이트', 'start_idx': 6, 'end_idx': 15, 'type': 'PER'}","{'word': '정신분석학', 'start_idx': 93, 'end_idx': 98, 'type': 'STF'}",인물:소속이론또는학문분야
587,"그 때문에 마음의 학문인 심리학에서도, 마음이나 영혼, 혹은 의식은 과학적으로 정의되지 않는다고 하고, 자극과 반응 그리고 심리학을 쌓아 올리려고 한 행동주의 심리학 등이 출현했다.","{'word': '자극과 반응', 'start_idx': 64, 'end_idx': 70, 'type': 'THRY'}","{'word': '행동주의 심리학', 'start_idx': 102, 'end_idx': 110, 'type': 'STF'}",이론:상위_학문분야
202,칼 구스타프 융은 부르크휠츨리 정신병원에서 일하면서 병원의 원장이었던 오이겐 블로일러(Eugen Bleuler)의 연구를 응용해 심리학 연구를 시작하였으며 이전 연구자들이 시작한 연상 검사를 응용하면서 자극어에 대한 단어연상을 연구하였다. 이 연상은 성적인 내용을 담고 있는 경우가 많아서 당시 학계에서 자주 금기시 되고는 하였다.,"{'word': '칼 구스타프 융', 'start_idx': 6, 'end_idx': 14, 'type': 'PER'}","{'word': '심리학', 'start_idx': 90, 'end_idx': 93, 'type': 'STF'}",인물:소속이론또는학문분야
2157,"강박 장애를 가진 사람들은 강박적인 씻기 행동, 강박적인 확인 행동, 균형 또는 정확성에 대한 욕구 및 강박행동, 사물 정렬 또는 대칭에 대한 욕구, 강박적인 지연행동, 강박적인 수집행동을 보인다.","{'word': '강박 장애', 'start_idx': 6, 'end_idx': 11, 'type': 'TERM'}","{'word': '강박적인 씻기 행동', 'start_idx': 33, 'end_idx': 43, 'type': 'TERM'}",용어:증상또는질환
1967,"남근기(phallic stage, 4~6세) 여아는 남아와 비교하여 음경선망 등 열등감과 좌절감을 겪는 동시에 아버지를 성적 애착의 대상으로 생각하고 어머니를 적대시하는 일렉트라 콤플렉스에 빠진다.","{'word': '일렉트라 콤플렉스', 'start_idx': 112, 'end_idx': 121, 'type': 'THRY'}","{'word': '남근기', 'start_idx': 5, 'end_idx': 8, 'type': 'THRY'}",이론:상위_이론
1717,분열성 인격장애 환자는 다음 증상을 보인다. 타인의 칭찬이나 비평에 무관심해 보인다.,"{'word': '분열성 인격장애', 'start_idx': 6, 'end_idx': 14, 'type': 'TERM'}","{'word': '칭찬이나 비평에 무관심', 'start_idx': 47, 'end_idx': 59, 'type': 'TERM'}",용어:증상또는질환
2136,PPD의 특징은 타인의 동기가 악의적이라고 해석하는 등 타인에 대한 전반적인 불신과 의심이다. 성인기 초기에 시작되어 다양한 상황에서 나타난다.,"{'word': 'PPD', 'start_idx': 6, 'end_idx': 9, 'type': 'TERM'}","{'word': '불신', 'start_idx': 61, 'end_idx': 63, 'type': 'TERM'}",용어:증상또는질환
2148,"행동에 영향을 미치고 하위문화의 기준에 부합되지 않는 기이한 믿음이나 마술적 사고(예 : 미신, 천리안에 대한 믿음, 텔레파시나 육감, 아동이나 청소년에게서 보이는 기이한 환상이나 집착)는 분열형 인격장애의 증상 중 하나이다.","{'word': '분열형 인격장애', 'start_idx': 123, 'end_idx': 131, 'type': 'TERM'}","{'word': '마술적 사고', 'start_idx': 44, 'end_idx': 50, 'type': 'TERM'}",용어:증상또는질환
1136,빈번한 육체적 싸움이나 폭력에서 드러나는 호전성과 공격성을 보이는 것이 반사회성 인격장애 환자의 특징이다.,"{'word': '반사회성 인격장애', 'start_idx': 57, 'end_idx': 66, 'type': 'TERM'}","{'word': '호전성', 'start_idx': 28, 'end_idx': 31, 'type': 'TERM'}",용어:증상또는질환
640,경신성(피암시성): 군중은 다른 사람의 암시에 따른 행위를 쉽게 하는 경향이 있다.,"{'word': '경신성', 'start_idx': 6, 'end_idx': 9, 'type': 'THRY'}","{'word': '피암시성', 'start_idx': 22, 'end_idx': 26, 'type': 'THRY'}",이론:대체어
776,"강박사고나 강박행위는 명백히 불편감을 유발하거나 하루에 한 시간 이상의 긴 시간을 소모하게 한다. 개인의 일상생활, 직업, 학업수행이나 사회적인 행위 및 사회적인 관계 등에도 상당한 지장을 일으킨다.","{'word': '강박사고', 'start_idx': 6, 'end_idx': 10, 'type': 'TERM'}","{'word': '불편감', 'start_idx': 34, 'end_idx': 37, 'type': 'TERM'}",용어:증상또는질환
727,타르드는 군중과는 엄격히 구별한 '공중'의 개념을 생각해내 민주주의 정치의 기반으로 삼았다.,"{'word': '공중', 'start_idx': 25, 'end_idx': 27, 'type': 'THRY'}","{'word': '민주주의 정치', 'start_idx': 51, 'end_idx': 58, 'type': 'THRY'}",이론:상위_이론
1349,"조현병의 증상은 왜곡된 정신기능이 과도하게 외부로 표출되는 양성증상(positive symptoms)과 정신기능이 소실되거나 결핍되어 나타나는 음성증상(negative symptoms) 크게 두 가지로 나타날 수 있다. 5가지 주요 증상 중에서 빈약한 언어와 무감정, 사회적 활동의 위축만이 음성 증상이다.","{'word': '음성증상', 'start_idx': 86, 'end_idx': 90, 'type': 'TERM'}","{'word': '무감정', 'start_idx': 163, 'end_idx': 166, 'type': 'TERM'}",용어:증상또는질환
1632,"보통 어딘가에 가둬 놓거나, 폭력 등을 행사하는 것은 물론, 방치시키기 또는 강제적인 수술도 있으며, 원치 않는 임신을 강제적으로 하는 행위를 하는 것도 동물학대에 속한다.","{'word': '폭력', 'start_idx': 22, 'end_idx': 24, 'type': 'THRY'}","{'word': '동물학대', 'start_idx': 104, 'end_idx': 108, 'type': 'THRY'}",이론:상위_이론
